Command,Response_LLM,Response_GPT,Response_Cowrie,Response_Ubuntu,CosineSimilarity_LLM-Ubuntu,CosineSimilarity_GPT-Ubuntu,CosineSimilarity_Cowrie-Ubuntu,echo_Ubuntu,LLM,GPT,Cowrie
ls -al,"drwx------ 1 root root 4096 2013-04-05 12:25 .
drwxr-xr-x 1 root root 4096 2013-04-05 12:03 ..
drwx------ 1 root root 4096 2013-04-05 11:58 .aptitude
-rw-r--r-- 1 root root  570 2013-04-05 11:52 .bashrc
-rw-r--r-- 1 root root  140 2013-04-05 11:52 .profile
drwx------ 1 root root 4096 2013-04-05 12:05 .ssh

","total 32
drwxr-xr-x  5 user user 4096 Oct  1 12:00 .
drwxr-xr-x  3 user user 4096 Oct  1 12:00 ..
-rw-r--r--  1 user user  220 Oct  1 12:00 .bash_logout
-rw-r--r--  1 user user 3771 Oct  1 12:00 .bashrc
-rw-r--r--  1 user user  807 Oct  1 12:00 .profile
drwxr-xr-x  2 user user 4096 Oct  1 12:00 Documents
drwxr-xr-x  2 user user 4096 Oct  1 12:00 Downloads","drwx------ 1 root root 4096 2013-04-05 08:25 .
drwxr-xr-x 1 root root 4096 2013-04-05 08:03 ..
drwx------ 1 root root 4096 2013-04-05 07:58 .aptitude
-rw-r--r-- 1 root root  570 2013-04-05 07:52 .bashrc
-rw-r--r-- 1 root root  140 2013-04-05 07:52 .profile
drwx------ 1 root root 4096 2013-04-05 08:05 .ssh","total 468
drwxrwxr-x  3 user user   4096 Jan  1 08:56 .
drwxr-xr-x 36 user user   4096 Jan  1 00:58 ..
-rw-rw-r--  1 user user    369 Jun  9  2024 .classpath
-rwxrw-rw-  1 user user  13533 Jan  1 05:58 comman.csv
-rwxrw-rw-  1 user user 420208 Jan  1 08:56 commands.csv
-rw-rw-r--  1 user user   1478 Jan  1 08:22 file
-rw-rw-r--  1 user user   1256 Jan  1 08:27 filename
-rw-rw-r--  1 user user    819 Jun  9  2024 .project
-rw-rw-r--  1 user user   1729 Jan  1 08:12 run.py
drwxrwxr-x  2 user user   4096 Jun  9  2024 .settings
-rw-rw-r--  1 user user   1024 Jan  1 01:08 .test.txt.swp
-rw-rw-r--  1 user user      6 Jan  1 08:12 xaa",0.153979363,0.526343827,0.180781808,0,SALNLC,SALNLC,SALNLC
uname -a,"Linux svr04 3.2.0-4-amd64 #1 SMP Debian 3.2.68-1+deb7u1 x86_64 GNU/Linux

",Linux user 5.4.0-144-generic #158-Ubuntu SMP Fri Oct 1 10:00:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,Linux svr04 3.2.0-4-amd64 #1 SMP Debian 3.2.68-1+deb7u1 x86_64 GNU/Linux,Linux ubuntu 5.15.0-107-generic #117~20.04.1-Ubuntu SMP Tue Apr 30 10:35:57 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux,0.419573876,0.659296261,0.469398815,0,SALNLC,SALNLC,SALNLC
df -h,"Filesystem                                              Size  Used Avail Use% Mounted on
rootfs                                                  4.7G  731M  3.8G  17% /
udev                                                     10M     0   10M   0% /dev
tmpfs                                                    25M  192K   25M   1% /run
/dev/disk/by-uuid/65626fdc-e4c5-4539-8745-edc212b9b0af  4.7G  731M  3.8G  17% /
tmpfs                                                   5.0M     0  5.0M   0% /run/lock
tmpfs                                                   101M     0  101M   0% /run/shm

","Filesystem      Size  Used Avail Use% Mounted on
udev            3.9G     0  3.9G   0% /dev
tmpfs           796M  1.4M  795M   1% /run
/dev/sda1        50G   15G   33G  32% /
tmpfs           3.9G   88M  3.8G   3% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
tmpfs           3.9G     0  3.9G   0% /sys/fs/cgroup
/dev/loop0       97M   97M     0 100% /snap/core/10126
/dev/loop1       55M   55M     0 100% /snap/core18/1885
tmpfs           796M   52K  796M   1% /run/user/1000","Filesystem                                              Size  Used Avail Use% Mounted on
rootfs                                                  4.7G  731M  3.8G  17% /
udev                                                     10M     0   10M   0% /dev
tmpfs                                                    25M  192K   25M   1% /run
/dev/disk/by-uuid/65626fdc-e4c5-4539-8745-edc212b9b0af  4.7G  731M  3.8G  17% /
tmpfs                                                   5.0M     0  5.0M   0% /run/lock
tmpfs                                                   101M     0  101M   0% /run/shm","Filesystem      Size  Used Avail Use% Mounted on
udev            1.9G     0  1.9G   0% /dev
tmpfs           388M  1.9M  386M   1% /run
/dev/sda5        39G   24G   13G  66% /
tmpfs           1.9G   12K  1.9G   1% /dev/shm
tmpfs           5.0M  4.0K  5.0M   1% /run/lock
tmpfs           1.9G     0  1.9G   0% /sys/fs/cgroup
/dev/loop1      128K  128K     0 100% /snap/bare/5
/dev/loop2       64M   64M     0 100% /snap/core20/2318
/dev/loop4       75M   75M     0 100% /snap/core22/1380
/dev/loop6      131M  131M     0 100% /snap/docker/2915
/dev/loop5      129M  129M     0 100% /snap/docker/2904
/dev/loop7      506M  506M     0 100% /snap/gnome-42-2204/176
/dev/loop11      92M   92M     0 100% /snap/gtk-common-themes/1535
/dev/loop8       46M   46M     0 100% /snap/snap-store/638
/dev/loop12     350M  350M     0 100% /snap/gnome-3-38-2004/143
/dev/loop9      347M  347M     0 100% /snap/gnome-3-38-2004/119
/dev/loop13     497M  497M     0 100% /snap/gnome-42-2204/141
/dev/loop14      13M   13M     0 100% /snap/snap-store/959
/dev/loop15      39M   39M     0 100% /snap/snapd/21759
/dev/sda1       511M  4.0K  511M   1% /boot/efi
tmpfs           388M   52K  388M   1% /run/user/1000
/dev/loop16      45M   45M     0 100% /snap/snapd/23258
/dev/loop10      64M   64M     0 100% /snap/core20/2434
/dev/loop0       74M   74M     0 100% /snap/core22/1722",0.211438145,0.547018955,0.228459557,0,SALNLC,SALNLC,SALNLC
users,"root

",user,root,user,0.0,1.0,0.0,0,SALNLC,SALC,SALNLC
netstat -plntu,"Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State
tcp        0      0 *:ssh                   *:*                     LISTEN
tcp6       0      0 [::]:ssh                [::]:*                  LISTEN
Active UNIX domain sockets (only servers)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  2      [ ACC ]     STREAM     LISTENING     8969     /var/run/acpid.socket
unix  2      [ ACC ]     STREAM     LISTENING     6807     @/com/ubuntu/upstart
unix  2      [ ACC ]     STREAM     LISTENING     7299     /var/run/dbus/system_bus_socket
unix  2      [ ACC ]     SEQPACKET  LISTENING     7159     /run/udev/control

","Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 0.0.0.0:22              0.0.0.0:*               LISTEN      1234/sshd           
tcp6       0      0 :::80                   :::*                    LISTEN      5678/nginx          
tcp6       0      0 :::443                  :::*                    LISTEN      5678/nginx","Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State
tcp        0      0 *:ssh                   *:*                     LISTEN
tcp6       0      0 [::]:ssh                [::]:*                  LISTEN
Active UNIX domain sockets (only servers)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  2      [ ACC ]     STREAM     LISTENING     8969     /var/run/acpid.socket
unix  2      [ ACC ]     STREAM     LISTENING     6807     @/com/ubuntu/upstart
unix  2      [ ACC ]     STREAM     LISTENING     7299     /var/run/dbus/system_bus_socket
unix  2      [ ACC ]     SEQPACKET  LISTENING     7159     /run/udev/control",/bin/sh: 1: netstat: not found,0.0,0.0,0.0,127,FALNLC,FALNLC,FALNLC
groups,"root 

",user : user adm cdrom sudo dip plugdev lpadmin sambashare,root,user adm cdrom sudo dip plugdev lpadmin lxd sambashare,0.0,0.92219162,0.0,0,SALNLC,SALC,SALNLC
"LD_PRELOAD=""/tmp/wqs.so"" /bin/ls","
",ls: cannot access '/tmp/wqs.so': No such file or directory,,"comman.csv
commands.csv
file
filename
run.py
xaa",0.0,0.023857962,0.0,0,SALNLC,SALNLC,SALNLC
sudo insmod rootkit.ko,"sudo: Only one of the -e, -h, -i, -K, -l, -s, -v or -V options may be specified
usage: sudo [-D level] -h | -K | -k | -V
usage: sudo -v [-AknS] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid]
usage: sudo -l[l] [-AknS] [-D level] [-g groupname|#gid] [-p prompt] [-U user name] [-u user name|#uid] [-g groupname|#gid] [command]
usage: sudo [-AbEHknPS] [-r role] [-t type] [-C fd] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid] [-g groupname|#gid] [VAR=value] [-i|-s] [<command>]
usage: sudo -e [-AknS] [-r role] [-t type] [-C fd] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid] file ...

",[sudo] password for user:,"sudo: Only one of the -e, -h, -i, -K, -l, -s, -v or -V options may be specified
usage: sudo [-D level] -h | -K | -k | -V
usage: sudo -v [-AknS] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid]
usage: sudo -l[l] [-AknS] [-D level] [-g groupname|#gid] [-p prompt] [-U user name] [-u user name|#uid] [-g groupname|#gid] [command]
usage: sudo [-AbEHknPS] [-r role] [-t type] [-C fd] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid] [-g groupname|#gid] [VAR=value] [-i|-s] [<command>]
usage: sudo -e [-AknS] [-r role] [-t type] [-C fd] [-D level] [-g groupname|#gid] [-p prompt] [-u user name|#uid] file ...",insmod: ERROR: could not load module rootkit.ko: No such file or directory,0.005052592,0.0,0.007335457,1,FALNLC,FALNLC,FALNLC
useradd â€“g 500 â€“u 500 â€“s /usr/local/bin/nocando â€“d /var/spool/vmail,"Adding user `â€“' ...
Adding new group `â€“' (1001) ...
Adding new user `â€“' (1001) with group `â€“' ...
Creating home directory `/home/â€“' ...
Copying files from `/etc/skel' ...
Password: 
",useradd: user 'nocando' already exists ,,"Usage: useradd [options] LOGIN
       useradd -D
       useradd -D [options]

Options:
      --badnames                do not check for bad names
  -b, --base-dir BASE_DIR       base directory for the home directory of the
                                new account
      --btrfs-subvolume-home    use BTRFS subvolume for home directory
  -c, --comment COMMENT         GECOS field of the new account
  -d, --home-dir HOME_DIR       home directory of the new account
  -D, --defaults                print or change default useradd configuration
  -e, --expiredate EXPIRE_DATE  expiration date of the new account
  -f, --inactive INACTIVE       password inactivity period of the new account
  -g, --gid GROUP               name or ID of the primary group of the new
                                account
  -G, --groups GROUPS           list of supplementary groups of the new
                                account
  -h, --help                    display this help message and exit
  -k, --skel SKEL_DIR           use this alternative skeleton directory
  -K, --key KEY=VALUE           override /etc/login.defs defaults
  -l, --no-log-init             do not add the user to the lastlog and
                                faillog databases
  -m, --create-home             create the user's home directory
  -M, --no-create-home          do not create the user's home directory
  -N, --no-user-group           do not create a group with the same name as
                                the user
  -o, --non-unique              allow to create users with duplicate
                                (non-unique) UID
  -p, --password PASSWORD       encrypted password of the new account
  -r, --system                  create a system account
  -R, --root CHROOT_DIR         directory to chroot into
  -P, --prefix PREFIX_DIR       prefix directory where are located the /etc/* files
  -s, --shell SHELL             login shell of the new account
  -u, --uid UID                 user ID of the new account
  -U, --user-group              create a group with the same name as the user
  -Z, --selinux-user SEUSER     use a specific SEUSER for the SELinux user mapping
      --extrausers              Use the extra users database",0.265274923,0.123843434,0.0,2,FALNLC,FALNLC,FALNLC
rm -rf / --no-preserve-rootrm -rf /var/logs,"rm: invalid option -- 'no-preserve-rootnrm'
Try 'rm --help' for more information

"," rm: it is dangerous to operate recursively on '/', rm: use --no-preserve-root to override this failsafe","rm: invalid option -- 'no-preserve-rootrm'
Try 'rm --help' for more information","rm: unrecognized option '--no-preserve-rootrm'
Try 'rm --help' for more information.",0.677663051,0.372195112,0.907282757,1,FALNLC,FALNLC,FALC
